Model,Lang,Data,nDCG@20
Omikuji,de,orig,0.5122
Omikuji,de,+A8,0.5513
Omikuji,de,+Q4,0.5602
Omikuji,de,+G4,0.5612
Omikuji,de,+E9,0.5630
Omikuji,de,+orig2,0.5701
Omikuji,en,orig,0.5595
Omikuji,en,+Q4,0.5896
Omikuji,en,+A8,0.5929
Omikuji,en,+S8,0.5932
Omikuji,en,+G4,0.5908
Omikuji,en,+orig2,0.5985
XTransformer,de,orig,0.5346
XTransformer,de,+A8,0.5473
XTransformer,de,+Q4,0.5609
XTransformer,de,+G4,0.5616
XTransformer,de,+E9,0.5600
XTransformer,de,+orig2,0.5634
XTransformer,en,orig,0.5355
XTransformer,en,+Q4,0.5541
XTransformer,en,+A8,0.5531
XTransformer,en,+S8,0.5373
XTransformer,en,+G4,0.5320
XTransformer,en,+orig2,0.5343
