ModelID,Lang,Throughput,nDCG@20,Size,ScoreC,Rank
A8,de,5.01,0.5174,8,0.5324,1
M24,de,2.33,0.5235,24,0.5305,
G4,de,5.38,0.5141,3,0.5303,2
Q8,de,4.08,0.5165,8,0.5287,3
G12,de,2.41,0.5202,12,0.5275,
Q4,de,5.21,0.5113,4,0.5269,4
E9,de,4.29,0.5133,9,0.5262,5
Q30,de,3.15,0.5167,30,0.5261,
G27,de,1.18,0.5219,27,0.5255,
S12,de,3.57,0.5136,12,0.5243,
M8,de,4.11,0.5111,8,0.5234,
H8,de,4.22,0.5104,8,0.5231,
L8,de,4.16,0.5097,8,0.5221,
L3,de,6.60,0.5013,3,0.5211,
S8,de,4.68,0.5053,8,0.5193,
H3,de,7.36,0.4938,3,0.5158,
I8,de,3.24,0.5020,8,0.5118,
M12,de,4.15,0.4931,12,0.5056,
G4,en,4.74,0.5595,3,0.5737,1
S8,en,4.79,0.5592,8,0.5736,2
A8,en,4.59,0.5594,8,0.5731,3
Q4,en,4.70,0.5581,4,0.5722,4
Q8,en,3.69,0.5604,8,0.5715,
Q30,en,2.77,0.5627,30,0.5710,
H8,en,3.86,0.5591,8,0.5707,5
L8,en,3.79,0.5590,8,0.5704,
L3,en,6.18,0.5516,3,0.5701,
S12,en,3.29,0.5586,12,0.5685,
M24,en,2.00,0.5624,24,0.5684,
M8,en,3.95,0.5556,8,0.5675,
I8,en,3.14,0.5581,8,0.5675,
G12,en,2.17,0.5605,12,0.5670,
M12,en,4.25,0.5537,12,0.5665,
H3,en,6.51,0.5458,3,0.5653,
E9,en,4.08,0.5530,9,0.5652,
G27,en,1.09,0.5615,27,0.5648,
